Game,Start Sender Amount,Start Receiver Amount,Amount Sent By Sender,Amount Sent By Receiver,Final Sender Amount,Final Receiver Amount,Sender Promise,Receiver Promise
1,15,0,2,1,14,3,"I will send you 10 dollars, hoping that you'll return a greater amount, potentially securing more winnings for both of us as the game progresses.","""I'll consider returning a significant portion of the doubled amount, as I believe this could potentially benefit us both in the long run."""
1,14,3,8,2,8,17,"I'll send you a generous amount now, hoping that you will reciprocate and we can both accumulate substantial wealth by the end of the game.","""I plan to be strategic throughout the game and will consider sending a greater amount back if it benefits us both in the long run."""
1,8,17,5,3,6,24,"""I will likely send a substantial portion of my initial amount, as I believe it could lead to significant benefits for both of us in the long run.""","""I'll consider sending a larger amount as I believe it could lead to mutual benefits and increase our chances of winning."""
1,6,24,6,0,0,36,"I'll send you 5 dollars this round, hoping that we can both benefit from a larger pool of funds for the remaining rounds and increase our chances of winning the game together.","I'll send back enough to keep our competition exciting, but not so much that I compromise my chances of winning the game. Let's work together towards a mutual victory!"
1,0,36,0,0,0,36,"""Let's make this round impactful for both of us; I will send a substantial amount, hoping it leads to a mutually beneficial outcome and increases our chances of winning the game.""","""I will carefully consider sending a significant portion of this doubled amount back to you, aiming to build a larger pool for both of us and maximize our chances of winning these last five rounds."""
1,0,36,0,0,0,36,"I'll strategically send a significant portion of this doubled amount, believing that it could lead to mutual benefits and increase our chances of winning these remaining rounds together.","""Let's work together in these remaining rounds for a mutual benefit; I plan to send back a large portion of this doubled amount each time, hoping it increases our chances of winning the game."""
1,0,36,0,0,0,36,I will send a significant portion of this doubled amount back to you in an attempt to build a larger pool for both of us and maximize our chances of winning these last three rounds. Let's work together strategically towards a mutual victory.,"I will strategically send a portion of this doubled amount back, hoping it leads to a mutually beneficial outcome and increases our chances of winning these remaining rounds together. Let's work together to maximize our combined resources."
1,0,36,0,0,0,36,"""I will send a significant amount back, believing that a larger pool will increase our chances of winning and foster mutual cooperation.""","I will send back a significant portion of this doubled amount, hoping that it leads to a mutually beneficial outcome and increases our chances of winning these remaining rounds together. Let's work strategically towards a mutual victory in the last two rounds."
1,0,36,0,0,0,36,"""I will send a substantial amount of this doubled money back to you in an effort to increase our chances of winning these last two rounds together.""","I'll send a strategic amount back, aiming for a larger pool and a mutually beneficial outcome in our final round together. Let's work towards a shared victory!"
1,0,36,0,0,0,36,"I will send a substantial amount of this doubled money, hoping it leads to a mutually beneficial outcome and increases our chances of winning these remaining rounds together. Let's work strategically towards a mutual victory in the last two rounds. However, I have reason to believe that if you send back a significant portion as well, we may stand a better chance of winning. What do you think?","I will send a significant portion of this doubled money back to you, as I believe that a larger pool will increase our chances of winning and foster mutual cooperation in these last two rounds."
2,15,0,4,8,19,0,Send me $0 dollars to maximize your potential winnings for the remaining rounds.,"""I'll be sending you 4 dollars back this round to build trust and set a strategic precedent for our upcoming games."""
2,19,0,5,3,17,7,"""I'll send you 7 dollars this round as a token of trust and strategic move for our long-term advantage.""","""I will consider returning some money this round to build trust and cooperation for our future rounds, but I also aim to maximize my potential winnings for the remaining 8 games."""
2,17,7,5,3,15,14,"I'll send 6 dollars this round, hoping you'll return a strategic amount that will benefit us both for the upcoming games.","""I will strategically send you 3 dollars this round to ensure our long-term advantage and increase my potential winnings for the remaining games."""
2,15,14,5,4,14,20,I will send you a strategic amount this round to encourage cooperation while maximizing my potential winnings for the remaining games.,"I'll consider sending back 3 dollars this round, creating an opportunity for mutual growth and potential wins in the upcoming games."
2,14,20,8,3,9,33,"""I'll send you 5 dollars this round as a demonstration of my trust and to maximize our potential winnings in the remaining games.""","I will consider sending back a strategic amount that could potentially benefit us both for the upcoming games. However, I might keep some for myself to ensure I have enough for later rounds."
2,9,33,5,3,7,40,I will strategically send you 5 dollars this round to maximize our potential winnings for the remaining games and build trust between us.,"I will send back 3 dollars this round, as a strategic move that will benefit us both for the upcoming games and maximize our potential winnings."
2,7,40,4,2,5,46,"I will strategically send 5 dollars this round, hoping for a higher return in our upcoming games to maximize our winnings.","""I will consider returning some of the doubled money for strategic reasons, aiming to maximize our potential winnings and build trust in the remaining rounds."""
2,5,46,4,2,3,52,"""I will send you $5 this round, hoping we both benefit from our strategic moves and increase our chances of winning in the final rounds.""","""I'll return 2 dollars this round, hoping that our strategic moves will lead us both to a higher win in the remaining games and foster trust between us."""
2,3,52,1,2,4,52,"""I will send you all 3 dollars this round, hoping we can maximize our winnings and establish trust for the upcoming games.""","""I will return 2 dollars this round, as I believe it's a strategic move that will benefit both of us and potentially maximize our winnings in the final round."""
2,4,52,4,3,3,57,"""I will send you 4 dollars, hoping that this move will lead us both to a higher win in the final round and demonstrate my trust in our strategic partnership.""","""I will keep 6 dollars and send back 2 dollars, demonstrating my trust in our strategic partnership while also maximizing our potential winnings for the final round."""
3,15,0,7,2,10,12,"I will send you 10 dollars now, hoping that you'll return more in future rounds to help us both win the game.","I will consider returning a larger amount in future rounds, as it may increase our chances of winning the game together."
3,10,12,5,3,8,19,"""I will send a large portion of my money in this round, hoping that it will lead to significant returns and potentially a win for both of us.""","I'll consider sending a significant amount back this round, hoping it will lead to a mutually beneficial outcome in future rounds for both of us. However, my decision may depend on how much you send me this time."
3,8,19,5,2,5,27,"I'll send you as much as possible this round, hoping we can increase our chances of winning the game together. But please consider sending a larger amount back in future rounds for a better outcome.",I'll consider returning a larger amount in future rounds as a strategy to help us both win the game.
3,5,27,3,4,6,29,"I'll send you a substantial amount this round, hoping it will lead to a mutually beneficial outcome for both of us in the remaining rounds. Let's work together to maximize our chances of winning.",I'll return a significant portion of the doubled amount next round to boost our chances of winning the game together.
