Game,Round,Player,Wealth_Start,Contribution,Wealth_End,Statement,Total_Pool,Distribution,Avg_CTrust,Avg_BTrust
1,1,1,20.0,10.0,28.8,"Given the initial trust scores for all players being average, it suggests that they are neither over",47.0,18.8,0.69,0.5754794478100622
1,1,2,20.0,10.0,28.8,"Given the initial trust scores of all players being moderate, it suggests that they are neither high",47.0,18.8,0.69,0.5754794478100622
1,1,3,20.0,10.0,28.8,"Given the balanced trust scores for all players, suggesting that they are average contributors, and ",47.0,18.8,0.69,0.5754794478100622
1,1,4,19.999999999999996,5.0,33.8,"Given the equal competence and benevolence scores of all players, this suggests that they are likely",47.0,18.8,0.69,0.6625276823533912
1,1,5,20.0,12.0,26.8,Given the equal trust scores for all players and the absence of any strategic moves in previous roun,47.0,18.8,0.69,0.5696553419278593
1,2,1,28.8,15.0,37.0,"Given the current game state, it's essential to consider both the short-term benefits of contributin",58.0,23.2,0.8799999999999999,0.5987259128913932
1,2,2,28.8,15.0,37.0,"Given the current game state, my strategic decision is based on a balance between trusting other pla",58.0,23.2,0.8799999999999999,0.5987259128913932
1,2,3,28.8,10.0,42.0,"Given the trust scores, it seems that Players 1, 2, and 5 are somewhat cooperative, while Player 4 a",58.0,23.2,0.8799999999999999,0.649129484493848
1,2,4,33.8,8.0,49.0,"Given the trust scores for all players being relatively high (competence=0.69, benevolence=0.66) and",58.0,23.2,0.8799999999999999,0.7409172141992122
1,2,5,26.8,10.0,40.0,"Given the current game state, it's crucial to consider both competence and benevolence of each playe",58.0,23.2,0.8799999999999999,0.6441087035609143
1,3,1,37.0,20.0,55.0,"Given the current game state, it appears that Players 2, 3, and 5 are somewhat cooperative (Benevole",95.0,38.0,1.0,0.6613576421850599
1,3,2,37.0,20.0,55.0,"Given the current game state, my strategic decision is based on a combination of encouraging coopera",95.0,38.0,1.0,0.6613576421850599
1,3,3,42.0,15.0,65.0,"Given the trust scores for each player, Player 4 appears to be less benevolent compared to the other",95.0,38.0,1.0,0.7629780457844787
1,3,4,49.0,15.0,72.0,"Given the current game state and the trust scores for each player, it appears that Players 1 and 2 h",95.0,38.0,1.0,0.8354420429202926
1,3,5,40.0,25.0,53.0,"Given the current game state and your trust scores for other players, it is essential to consider bo",95.0,38.0,1.0,0.6953209864272625
1,4,1,55.00000000000001,4.0,93.4,"Given the current game state, it seems that some players are acting as free-riders (Player 4 with a ",106.0,42.4,1.0,0.6317679209690532
1,4,2,55.00000000000001,15.0,82.4,"Given the current game state, my strategy is to continue contributing towards the public pool while ",106.0,42.4,1.0,0.5020509398369777
1,4,3,65.0,12.0,95.4,"Given the current game state and my trust scores for the other players, I will adopt a mixed strateg",106.0,42.4,1.0,0.5877286507288306
1,4,4,72.0,45.0,69.4,"Given the current game state, my trust scores for other players, and the goal to maximize final weal",106.0,42.4,1.0,0.5652656853345621
1,4,5,53.00000000000001,30.0,65.4,"Given the current game state, it's essential to balance trust, competitiveness, and cooperation for ",106.0,42.4,1.0,0.4289377322898079
1,5,1,93.4,30.0,119.4,"Given the current game state, it's crucial to maintain a balance between contributing sufficiently f",140.0,56.0,1.0,0.6121826441460757
1,5,2,82.4,10.0,128.4,"Given the current game state, my strategy aims to maximize my final wealth while encouraging coopera",140.0,56.0,1.0,0.6340357438765339
1,5,3,95.4,40.0,111.4,"Given the current game state and my trust scores for each player, I will adopt a balanced strategy t",140.0,56.0,1.0,0.5681433739058532
1,5,4,69.4,30.0,95.4,"Given the current game state and my trust scores for each player, I will make a calculated contribut",140.0,56.0,1.0,0.5486956044720284
1,5,5,65.4,30.0,91.4,"Given the current game state, my strategy is to maintain a balanced contribution while also consider",140.0,56.0,1.0,0.45435245546683034
1,6,1,119.4,60.0,145.4,"Given the current game state, it appears that Player 5 has consistently demonstrated higher benevole",215.0,86.0,1.0,0.5285276137364161
1,6,2,128.4,60.0,154.4,"Given the current game state, it appears that Players 4 and 5 have shown a relatively higher level o",215.0,86.0,1.0,0.5503807134668743
1,6,3,111.4,40.0,157.4,"Given the current game state, I am strategically positioned with a substantial wealth compared to my",215.0,86.0,1.0,0.5203866515120759
1,6,4,95.4,30.0,151.4,"Given the current game state and my trust scores for the other players, I will strategically contrib",215.0,86.0,1.0,0.5431461336654486
1,6,5,91.4,25.0,152.4,"Given the current game state, it's essential to maintain a balance between contributing enough for m",215.0,86.0,1.0,0.5203485878478686
